Model,Accuracy,Precision (Spam),Recall (Spam),F1-Score (Spam)
NB,0.9834205933682374,0.9811320754716981,0.948905109489051,0.9647495361781077
LR,0.9825479930191972,0.9847328244274809,0.9416058394160584,0.9626865671641791
SVM,0.9895287958115183,0.9816176470588235,0.9744525547445255,0.978021978021978
RF,0.9860383944153578,0.9813432835820896,0.9598540145985401,0.9704797047970479
